Atomic Number,Name,Symbol,† Atomic Weight,Atomic Weight Estimated,Atomic Weight Display,† Phase at STP,Type,Group,Group 2,Period,† Electron Configuration,Ground-state Level,† Ionization Energy (eV),* Melting Point (°C),* Boiling Point (°C),Crystal Structure,Atomic Radius (display),Metallic Radius (pm),* Covalent radius (pm),* Atomic Radius (calculated)  (pm),"* Van der Waals Radius, (pm)",* Electro-negativity (Pauling),* Density (g/cm3),* Electron Affinity (kJ/mol),"* Thermal Conductivity, W/(m K)",* Electrical Resistivity (Ωm),* CAS Number,Possible Oxidation States,Discoverer,Discovery (Year)
1,Hydrogen,H,1.00794,,1.00794,Gas,Non Metal,1,IA,1,1s1,2S1/2,13.5984,-259.14,-252.87,hex,(v) 37,,37,53,120,2.2,0.0899,72.8,0.1805,#N/A,CAS1333-74-0,"+1,-1","Cavendish, Henry",1766
2,Helium,He,4.002602,,4.002602,Gas,Noble Gas,18,VIIIA,1,1s2,1S0,24.5874,#N/A,-268.93,,(v) 32,,32,31,140,#N/A,0.1785,#N/A,0.1513,#N/A,CAS7440-59-7,0,"Ramsey, Sir William & Cleve, Per Teodor",1895
3,Lithium,Li,6.941,,6.941,Solid,Alkali Metal,1,IA,2,[He] 2s1,2S1/2,5.3917,180.54,1342,BCC,(m) 152,152,134,167,182,0.98,0.535,59.6,85,0.000000094,CAS7439-93-2,+1,"Arfvedson, Johan August",1817
4,Beryllium,Be,9.012182,,9.012182,Solid,Alkaline Earth Metal,2,IIA,2,[He] 2s2,1S0,9.3227,1287,2470,HCP,(m) 112,112,90,112,153,1.57,1.848,#N/A,190,0.00000004,CAS7440-41-7,+2,"Vauquelin, Nicholas Louis",1797
5,Boron,B,10.811,,10.811,Solid,Metalloids,13,IIIA,2,[He] 2s2 2p1,2P°1/2,8.298,2075,4000,rhom.,(v) 82,,82,87,192,2.04,2.46,26.7,27,10000,CAS7440-42-8,+3,"Davy, Sir Humphry & Thénard, Louis-Jaques  & Gay-Lussac, Louis-Joseph",1808
6,Carbon,C,12.0107,,12.0107,Solid,Non Metal,14,IVA,2,[He] 2s2 2p2,3P0,11.2603,3550,4027,hex,(v) 77,,77,67,170,2.55,2.26,153.9,140,0.00001,CAS7440-44-0,"+2,4/-4",unknown,ancient
7,Nitrogen,N,14.0067,,14.0067,Gas,Non Metal,15,VA,2,[He] 2s2 2p3,4S°3/2,14.5341,-210.1,-195.79,hex,(v) 75,,75,56,155,3.04,1.251,7,0.02583,#N/A,CAS7727-37-9,"+1,2,3,4,5/-1,2,3","Rutherford, Daniel",1772
8,Oxygen,O,15.9994,,15.9994,Gas,Non Metal,16,VIA,2,[He] 2s2 2p4,3P2,13.6181,-218.3,-182.9,§cubic,(v) 73,,73,48,152,3.44,1.429,141,0.02658,#N/A,CAS7782-44-7,-2,"Priestley, Joseph & Scheele, Carl Wilhelm",1774
9,Fluorine,F,18.9984032,,18.9984032,Gas,Halogen,17,VIIA,2,[He] 2s2 2p5,2P°3/2,17.4228,-219.6,-188.12,§cubic,(v) 71,,71,42,147,3.98,1.696,328,0.0277,#N/A,CAS7782-41-4,-1,"Moissan, Henri",1886
10,Neon,Ne,20.1797,,20.1797,Gas,Noble Gas,18,VIIIA,2,[He] 2s2 2p6,1S0,21.5645,-248.59,-246.08,FCC,(v) 69,,69,38,154,#N/A,0.9,#N/A,0.0491,#N/A,CAS7440-01-9,0,"Ramsay, William & Travers, Morris",1898
